Suburb,Price_k,Land_size,income_md,shopping_center,Time_train,sch_rank,Lat,Lng,Count
Abbotsford,805,223,919,805,17,457,-37.8029661,144.9979673,72
Aberfeldie,963,453,757,489,16,380,-37.75886365,144.8968298,77
Airport West,560,339,536,964,24,600,-37.72441167,144.8811084,244
Albanvale,337,512,387,943,28,491,-37.74619608,144.7686072,112
Albert Park,1220,147,1040,539,4,24,-37.84423406,144.9526289,133
Albion,368,315,433,3160,23,423,-37.7810412,144.8205954,162
Alphington,853,307,812,2540,28,249,-37.77973278,145.028983,70
Altona,634,338,582,2201,31,600,-37.86584295,144.8208365,479
Altona Meadows,430,348,538,1730,29,525,-37.87661397,144.7783456,393
Altona North,573,326,418,1147,21,319,-37.83541137,144.8529341,349
Ardeer,362,472,417,2391,23,423,-37.77802076,144.801959,97
Armadale,793,165,974,963,16,492,-37.85793184,145.0192688,52
Ascot Vale,730,253,807,1558,28,497,-37.77678203,144.9155351,302
Ashburton,1098,580,674,2023,27,245,-37.86758624,145.0820845,115
Ashwood,863,451,557,2451,29,245,-37.86677751,145.1032551,171
Aspendale,732,431,689,2098,51,431,-38.02235672,145.1015459,167
Aspendale Gardens,593,473,644,3096,51,311,-38.02155686,145.1188996,73
Avondale Heights,603,477,460,2355,18,195,-37.76215417,144.861039,263
Balaclava,646,135,830,2127,17,252,-37.87118261,144.9955597,91
Balwyn,1111,453,646,1908,20,71,-37.80949429,145.0806162,170
Balwyn North,1274,587,644,2878,24,75,-37.79395946,145.0847527,200
Beaumaris,1072,451,732,2013,42,411,-37.98152771,145.0398879,387
Bellfield,609,531,423,1726,30,300,-37.7525665,145.0381699,52
Bentleigh,918,379,649,3836,31,262,-37.92319112,145.0385094,285
Bentleigh East,788,368,600,2834,28,343,-37.92192639,145.0666815,502
Black Rock,977,354,766,3342,33,411,-37.9732534,145.0191952,182
Blackburn,888,508,673,906,26,123,-37.82107489,145.1504892,343
Blackburn North,767,488,575,841,26,146,-37.80644038,145.1552003,185
Blackburn South,803,473,571,1679,26,278,-37.83927376,145.1472453,235
Bonbeach,559,324,659,1866,57,227,-38.06202143,145.1250636,213
Box Hill,730,293,437,623,23,76,-37.82052173,145.125363,246
Box Hill North,868,475,540,1353,24,123,-37.80667778,145.1296734,258
Box Hill South,919,479,574,1554,23,93,-37.83678012,145.1225473,144
Braybrook,488,360,339,1229,19,126,-37.7860979,144.853767,180
Briar Hill,580,434,670,3042,47,260,-37.70622383,145.1205177,95
Brighton,1159,369,898,4789,24,179,-37.90917208,144.9977254,277
Brighton East,1130,436,740,4552,27,142,-37.91662143,145.0171152,183
Brooklyn,493,331,576,869,17,319,-37.82115486,144.8436998,63
Brunswick,669,207,709,1187,17,98,-37.7668692,144.9612362,485
Brunswick East,675,216,760,1442,19,110,-37.76909473,144.9757258,178
Brunswick West,601,229,667,2332,18,135,-37.76221491,144.9418455,307
Bundoora,563,454,488,1244,43,348,-37.69572342,145.0601139,796
Burnley,873,506,1052,1233,8,474,-37.82489092,145.010194,50
Burnside,448,490,488,2371,29,578,-37.74975984,144.7499054,90
Burnside Heights,458,399,711,2208,31,361,-37.73100774,144.756562,136
Burwood,924,498,450,1840,27,187,-37.8510216,145.1133911,274
Burwood East,812,486,455,956,34,276,-37.85328725,145.1492827,182
Cairnlea,556,446,566,1378,26,447,-37.75944174,144.7866351,126
Camberwell,1077,395,778,1727,22,157,-37.84047538,145.0778718,133
Canterbury,1208,436,755,874,19,100,-37.82486596,145.076571,30
Carlton,458,78,360,1061,3,69,-37.80004454,144.9665975,396
Carlton North,903,145,835,1353,20,88,-37.78614126,144.9729552,112
Carnegie,679,163,662,1077,22,226,-37.89260051,145.0558432,376
Caroline Springs,485,361,755,3762,31,526,-37.73301922,144.7374293,776
Carrum,514,260,629,1744,59,227,-38.07705668,145.1283236,135
